Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Adrian Peterson,RB,5,MIN,$78,$0,,$78,,,,,,,,,,,,,
Calvin Johnson,WR,9,DET,$64,$0,,$64,,,,,,,,,,,,,
Doug Martin,RB,5,TB,$63,$0,,$63,,,,,,,,,,,,,
C.J. Spiller,RB,12,BUF,$62,$0,,$62,,,,,,,,,,,,,
Arian Foster,RB,8,HOU,$62,$0,,$62,,,,,,,,,,,,,
Jamaal Charles,RB,10,KC,$58,$0,,$58,,,,,,,,,,,,,
Marshawn Lynch,RB,12,SEA,$56,$0,,$56,,,,,,,,,,,,,
Trent Richardson,RB,10,CLE,$54,$0,,$54,,,,,,,,,,,,,
Ray Rice,RB,8,BAL,$51,$0,,$51,,,,,,,,,,,,,
LeSean McCoy,RB,12,PHI,$51,$0,,$51,,,,,,,,,,,,,
Dez Bryant,WR,11,DAL,$50,$0,,$50,,,,,,,,,,,,,
A.J. Green,WR,12,CIN,$50,$0,,$50,,,,,,,,,,,,,
Brandon Marshall,WR,8,CHI,$48,$0,,$48,,,,,,,,,,,,,
Alfred Morris,RB,5,WAS,$47,$0,,$47,,,,,,,,,,,,,
Julio Jones,WR,6,ATL,$46,$0,,$46,,,,,,,,,,,,,
Aaron Rodgers,QB,4,GB,$46,$0,,$46,,,,,,,,,,,,,
Drew Brees,QB,7,NO,$46,$0,,$46,,,,,,,,,,,,,
Jimmy Graham,TE,7,NO,$45,$0,,$45,,,,,,,,,,,,,
Demaryius Thomas,WR,9,DEN,$42,$0,,$42,,,,,,,,,,,,,
Matt Forte,RB,8,CHI,$40,$0,,$40,,,,,,,,,,,,,
Larry Fitzgerald,WR,9,ARI,$38,$0,,$38,,,,,,,,,,,,,
Andre Johnson,WR,8,HOU,$37,$0,,$37,,,,,,,,,,,,,
Steven Jackson,RB,6,ATL,$37,$0,,$37,,,,,,,,,,,,,
Randall Cobb,WR,4,GB,$37,$0,,$37,,,,,,,,,,,,,
